time_s,sedov_xi,sample_radius_cm,frame_x1_cm,frame_x2_cm,frame_x3_cm,frame_v1_cm_s,frame_v2_cm_s,frame_v3_cm_s,shock_radius_cm,shock_speed_cm_s,rho_g_cm3,pressure_dyn_cm2,vx_cm_s,vy_cm_s,vz_cm_s,mass_flux_g_cm2_s,momentum_flux_dyn_cm2,sample_is_shocked,inner_x1_shocked_fraction
19144532289628.18,0.3633847190216714,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.5447933048321094e+20,4856420.560287653,1.2039714217328654e-26,4.523702378845907e-12,1059270.769006651,0.0,0.0,1.2753317337610032e-20,4.537211595109503e-12,1.0,1.0
19762097847358.12,0.3591883567999602,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.5745238745576987e+20,4772541.065627029,1.1425512942013855e-26,4.3683240459252716e-12,1028924.2425055469,0.0,0.0,1.1755987249098928e-20,4.3804200662004555e-12,1.0,1.0
20379663405088.062,0.3551568502617022,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.603748173133195e+20,4692416.918591751,1.0858749501361156e-26,4.222476469915422e-12,1000269.2779822332,0.0,0.0,1.0861673523516457e-20,4.233341068248469e-12,1.0,1.0
20997228962818.004,0.35127939961520116,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.6324885577054198e+20,4615782.338641597,1.0334580472143566e-26,4.085330575494313e-12,973168.1634565355,0.0,0.0,1.005728469816973e-20,4.09511800477339e-12,1.0,1.0
21614794520547.945,0.3475461807640321,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.6607658240172173e+20,4542396.900711381,9.848771338340825e-27,3.956149653736427e-12,947497.7530820635,0.0,0.0,9.331688713696959e-21,3.964991407825116e-12,1.0,1.0
22232360078277.887,0.34394823418198056,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.688599353457863e+20,4472042.524102959,9.397606260997702e-27,3.834276921204436e-12,923147.5891797065,0.0,0.0,8.675377563900144e-21,3.842285575087774e-12,1.0,1.0
22849925636007.83,0.34047736892938407,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.7160072428674105e+20,4404520.885753029,8.977813149398474e-27,3.719125031211018e-12,900018.307777317,0.0,0.0,8.08019619826256e-21,3.726397355719887e-12,1.0,1.0
23467491193737.77,0.3371260794258285,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.743006419496239e+20,4339651.189115299,8.586501126528247e-27,3.6101671894673176e-12,878020.2789023333,0.0,0.0,7.539122113909531e-21,3.616786691568451e-12,1.0,1.0
24085056751467.71,0.33388747301811794,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.7696127431365683e+20,4277268.232417936,8.221108090712615e-27,3.506929595356527e-12,857072.4422347951,0.0,0.0,7.046085189183294e-21,3.512968600797815e-12,1.0,1.0
24702622309197.65,0.3307552067228615,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.7958410971274042e+20,4217220.730059259,7.879356545366877e-27,3.408984984053081e-12,837101.3061125071,0.0,0.0,6.5958196554527446e-21,3.414506353301543e-12,1.0,1.0
25320187866927.59,0.3277234317978984,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.821705469674557e+20,4159369.848939852,7.559216234089541e-27,3.3159470872074492e-12,818040.0837414699,0.0,0.0,6.183741881154487e-21,3.3210056359337445e-12,1.0,1.0
25937753424657.53,0.32478674501992555,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.8472190267121716e+20,4103587.928019635,7.2588724040766e-27,3.2274658635852955e-12,799827.9451445685,0.0,0.0,5.8058489990192e-21,3.232109543860001e-12,1.0,1.0
26555318982387.473,0.3219401457277523,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.8723941773532312e+20,4049757.354658233,6.976698745710101e-27,3.143223377881648e-12,782409.3671389541,0.0,0.0,5.458634450350175e-21,3.1474942646073892e-12,1.0,1.0
27172884540117.414,0.3191789978398743,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.8972426328268928e+20,3997769.575597097,6.711234234183098e-27,3.062930227434354e-12,765733.5666654003,0.0,0.0,5.13901732686796e-21,3.066865345501212e-12,1.0,1.0
27790450097847.355,0.316498996177994,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.9217754596750387e+20,3947524.2239671205,6.461163240712394e-27,2.9863224338870043e-12,749754.0052532792,0.0,0.0,4.844283018319375e-21,2.9899544544825696e-12,1.0,1.0
28408015655577.297,0.3138961365298239,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.9460031278747048e+20,3898928.3466086853,6.225298394267129e-27,2.9131587308823355e-12,734427.9544103863,0.0,0.0,4.57203316529587e-21,2.9165165598474202e-12,1.0,1.0
29025581213307.24,0.3113666889689969,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.969935554463644e+20,3851895.718392256,6.00256576591981e-27,2.8432181902848556e-12,719716.1133692123,0.0,0.0,4.320143303290894e-21,2.846327467032298e-12,1.0,1.0
29643146771037.18,0.30890717402037804,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.9935821431704374e+20,3806346.232221761,5.791992021605297e-27,2.7762981387658302e-12,705582.2719721191,0.0,0.0,4.0867268898486525e-21,2.7791816608096993e-12,1.0,1.0
30260712328767.12,0.30651434131808475,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.016951820485947e+20,3762205.3550656377,5.5926932488872775e-27,2.7122123242483848e-12,691993.0125936425,0.0,0.0,3.870104649809633e-21,2.7148904096240592e-12,1.0,1.0
30878277886497.062,0.30418515045310507,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.0400530685576964e+20,3719403.641751911,5.403865212101015e-27,2.650789298031089e-12,678917.4459234194,0.0,0.0,3.6687783679140384e-21,2.6532800956702926e-12,1.0,1.0
31495843444227.004,0.3019167537492313,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.0628939552414656e+20,3677876.299432446,5.224774830175815e-27,2.59187098364151e-12,666326.9762035436,0.0,0.0,3.481408413935434e-21,2.5941907399828972e-12,1.0,1.0
